Data,Ryzyko_RF,Prawd_RF,Ryzyko_LSTM,Prawd_LSTM,Alert_Systemowy
2021-10-15,niskie,0.319,niskie,0.415,NIE
2021-10-16,niskie,0.281,niskie,0.383,NIE
2021-10-17,niskie,0.2,niskie,0.12,NIE
2021-10-18,niskie,0.221,niskie,0.061,NIE
2021-10-19,niskie,0.376,niskie,0.122,NIE
2021-10-20,średnie,0.519,średnie,0.53,NIE
2021-10-21,wysokie,0.714,wysokie,0.719,TAK
2021-10-22,wysokie,0.82,wysokie,0.81,TAK
2021-10-23,wysokie,0.888,wysokie,0.919,TAK
2021-10-24,wysokie,0.699,wysokie,0.774,TAK
2021-10-25,niskie,0.33,wysokie,0.672,TAK
2021-10-26,niskie,0.2,średnie,0.558,NIE
2021-10-27,niskie,0.079,niskie,0.4,NIE
2021-10-28,niskie,0.055,niskie,0.246,NIE
2021-10-29,niskie,0.104,niskie,0.254,NIE
2021-10-30,niskie,0.177,niskie,0.231,NIE
2021-10-31,niskie,0.172,niskie,0.274,NIE
2021-11-01,niskie,0.258,niskie,0.329,NIE
2021-11-02,niskie,0.479,niskie,0.483,NIE
2021-11-03,średnie,0.575,wysokie,0.658,TAK
2021-11-04,wysokie,0.759,wysokie,0.828,TAK
2021-11-05,wysokie,0.785,wysokie,0.904,TAK
2021-11-06,niskie,0.432,wysokie,0.765,TAK
2021-11-07,wysokie,0.731,wysokie,0.741,TAK
2021-11-08,wysokie,0.851,wysokie,0.835,TAK
2021-11-09,średnie,0.63,wysokie,0.734,TAK
2021-11-10,niskie,0.283,średnie,0.586,NIE
2021-11-11,niskie,0.146,niskie,0.425,NIE
2021-11-12,niskie,0.157,niskie,0.317,NIE
2021-11-13,niskie,0.106,niskie,0.398,NIE
2021-11-14,niskie,0.4,niskie,0.307,NIE
2021-11-15,niskie,0.22,niskie,0.108,NIE
2021-11-16,niskie,0.286,niskie,0.197,NIE
2021-11-17,niskie,0.337,niskie,0.336,NIE
2021-11-18,niskie,0.385,niskie,0.445,NIE
2021-11-19,średnie,0.554,średnie,0.605,NIE
2021-11-20,wysokie,0.688,wysokie,0.684,TAK
2021-11-21,wysokie,0.759,wysokie,0.737,TAK
2021-11-22,wysokie,0.749,wysokie,0.764,TAK
2021-11-23,średnie,0.62,niskie,0.479,NIE
2021-11-24,niskie,0.261,niskie,0.399,NIE
2021-11-25,średnie,0.591,średnie,0.58,NIE
2021-11-26,średnie,0.642,średnie,0.633,NIE
2021-11-27,niskie,0.473,średnie,0.626,NIE
2021-11-28,średnie,0.638,niskie,0.373,NIE
2021-11-29,wysokie,0.812,średnie,0.511,TAK
2021-11-30,wysokie,0.924,wysokie,0.773,TAK
2021-12-01,wysokie,0.881,wysokie,0.837,TAK
2021-12-02,wysokie,0.933,wysokie,0.856,TAK
2021-12-03,wysokie,0.861,wysokie,0.785,TAK
2021-12-04,niskie,0.468,średnie,0.521,NIE
2021-12-05,niskie,0.42,średnie,0.542,NIE
2021-12-06,niskie,0.319,niskie,0.222,NIE
2021-12-07,niskie,0.09,niskie,0.062,NIE
2021-12-08,niskie,0.055,niskie,0.046,NIE
2021-12-09,niskie,0.113,niskie,0.034,NIE
2021-12-10,niskie,0.379,niskie,0.08,NIE
2021-12-11,niskie,0.479,niskie,0.086,NIE
2021-12-12,niskie,0.253,niskie,0.021,NIE
2021-12-13,niskie,0.071,niskie,0.012,NIE
2021-12-14,niskie,0.115,niskie,0.028,NIE
2021-12-15,niskie,0.155,niskie,0.021,NIE
2021-12-16,niskie,0.249,niskie,0.03,NIE
