Data,ryzyko,prawdopodobienstwo,kierunek,epizod_rzeczywisty
2023-07-17,niskie,0.067,↓,0
2023-07-18,niskie,0.07,↑,0
2023-07-19,niskie,0.06,↓,0
2023-07-20,niskie,0.043,↓,0
2023-07-21,niskie,0.044,↑,0
2023-07-22,niskie,0.048,↑,0
2023-07-23,niskie,0.061,↑,0
2023-07-24,niskie,0.338,↑,0
2023-07-25,niskie,0.435,↑,0
2023-07-26,niskie,0.471,↑,0
2023-07-27,niskie,0.429,↓,0
2023-07-28,niskie,0.312,↓,0
2023-07-29,niskie,0.223,↓,0
2023-07-30,niskie,0.352,↑,0
2023-07-31,niskie,0.37,↑,0
2023-08-01,niskie,0.397,↑,0
2023-08-02,niskie,0.253,↓,0
2023-08-03,niskie,0.279,↑,0
2023-08-04,niskie,0.299,↑,0
2023-08-05,niskie,0.312,↑,0
2023-08-06,średnie,0.502,↑,1
2023-08-07,niskie,0.474,↓,1
2023-08-08,niskie,0.428,↓,0
2023-08-09,niskie,0.42,↓,0
2023-08-10,niskie,0.318,↓,0
2023-08-11,niskie,0.206,↓,0
2023-08-12,niskie,0.189,↓,0
2023-08-13,niskie,0.116,↓,0
2023-08-14,niskie,0.078,↓,0
2023-08-15,niskie,0.054,↓,0
2023-08-16,niskie,0.06,↑,0
2023-08-17,niskie,0.076,↑,0
2023-08-18,niskie,0.075,↓,0
2023-08-19,niskie,0.055,↓,0
2023-08-20,niskie,0.04,↓,0
2023-08-21,niskie,0.027,↓,0
2023-08-22,niskie,0.025,↓,0
2023-08-23,niskie,0.021,↓,0
2023-08-24,niskie,0.03,↑,0
2023-08-25,niskie,0.074,↑,0
2023-08-26,niskie,0.087,↑,0
2023-08-27,niskie,0.314,↑,0
2023-08-28,niskie,0.468,↑,0
2023-08-29,niskie,0.487,↑,0
2023-08-30,niskie,0.356,↓,0
2023-08-31,niskie,0.287,↓,0
2023-09-01,niskie,0.227,↓,0
2023-09-02,niskie,0.24,↑,0
2023-09-03,niskie,0.125,↓,0
2023-09-04,niskie,0.062,↓,0
2023-09-05,niskie,0.057,↓,0
2023-09-06,niskie,0.055,↓,0
2023-09-07,niskie,0.039,↓,0
2023-09-08,niskie,0.062,↑,0
2023-09-09,niskie,0.052,↓,0
2023-09-10,niskie,0.073,↑,0
