Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-05-19,wiosna,niskie,0.068,cos_doy,wzrost,0.068,cos_doy – models ocenia ryzyko wezbrania na 7%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2022-05-20,wiosna,niskie,0.11,cos_doy,wzrost,0.11,cos_doy – models ocenia ryzyko wezbrania na 11%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 11%.,0,0,0,0
2022-05-21,wiosna,niskie,0.461,cos_doy,wzrost,0.461,cos_doy – models ocenia ryzyko wezbrania na 46%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 46%.,1,1,1,0
2022-05-22,wiosna,niskie,0.125,cos_doy,spadek,0.125,cos_doy – models ocenia ryzyko wezbrania na 13%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2022-05-23,wiosna,niskie,0.088,cos_doy,spadek,0.088,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-05-24,wiosna,niskie,0.053,cos_doy,spadek,0.053,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-05-25,wiosna,niskie,0.21,cos_doy,wzrost,0.21,cos_doy – models ocenia ryzyko wezbrania na 21%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 21%.,0,0,0,0
2022-05-26,wiosna,niskie,0.285,cos_doy,wzrost,0.285,cos_doy – models ocenia ryzyko wezbrania na 29%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 29%.,0,0,0,0
2022-05-27,wiosna,niskie,0.229,cos_doy,spadek,0.229,cos_doy – models ocenia ryzyko wezbrania na 23%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 23%.,0,0,0,0
2022-05-28,wiosna,niskie,0.189,cos_doy,spadek,0.189,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2022-05-29,wiosna,niskie,0.175,cos_doy,spadek,0.175,cos_doy – models ocenia ryzyko wezbrania na 18%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 18%.,0,0,0,0
2022-05-30,wiosna,niskie,0.256,cos_doy,wzrost,0.256,cos_doy – models ocenia ryzyko wezbrania na 26%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 26%.,0,0,0,0
2022-05-31,wiosna,niskie,0.144,cos_doy,spadek,0.144,cos_doy – models ocenia ryzyko wezbrania na 14%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 14%.,0,0,0,0
2022-06-01,lato,niskie,0.184,cos_doy,wzrost,0.184,cos_doy – models ocenia ryzyko wezbrania na 18%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 18%.,0,0,0,0
2022-06-02,lato,niskie,0.19,cos_doy,wzrost,0.19,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
