Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2024-09-07,jesien,niskie,0.033,cos_doy,↑,0.033,cos_doy – model ocenia ryzyko wezbrania na 3%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 3%.,0,0,0,0
2024-09-08,jesien,niskie,0.061,cos_doy,↑,0.061,cos_doy – model ocenia ryzyko wezbrania na 6%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2024-09-09,jesien,niskie,0.255,cos_doy,↑,0.255,cos_doy – model ocenia ryzyko wezbrania na 26%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 26%.,0,0,0,0
2024-09-10,jesien,niskie,0.13,cos_doy,↓,0.13,cos_doy – model ocenia ryzyko wezbrania na 13%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2024-09-11,jesien,niskie,0.094,cos_doy,↓,0.094,cos_doy – model ocenia ryzyko wezbrania na 9%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2024-09-12,jesien,niskie,0.302,cos_doy,↑,0.302,cos_doy – model ocenia ryzyko wezbrania na 30%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 30%.,0,0,0,0
2024-09-13,jesien,niskie,0.366,cos_doy,↑,0.366,cos_doy – model ocenia ryzyko wezbrania na 37%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 37%.,0,0,0,0
2024-09-14,jesien,średnie,0.564,cos_doy,↑,0.564,cos_doy – model ocenia ryzyko wezbrania na 56%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 56%.,1,1,0,1
2024-09-15,jesien,średnie,0.53,cos_doy,↓,0.53,cos_doy – model ocenia ryzyko wezbrania na 53%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 53%.,1,1,0,1
2024-09-16,jesien,niskie,0.154,cos_doy,↓,0.154,cos_doy – model ocenia ryzyko wezbrania na 15%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2024-09-17,jesien,niskie,0.09,cos_doy,↓,0.09,cos_doy – model ocenia ryzyko wezbrania na 9%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2024-09-18,jesien,niskie,0.071,cos_doy,↓,0.071,cos_doy – model ocenia ryzyko wezbrania na 7%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2024-09-19,jesien,niskie,0.037,cos_doy,↓,0.037,cos_doy – model ocenia ryzyko wezbrania na 4%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 4%.,0,0,0,0
